,Cluster 10,Cluster 14,Cluster 7,Cluster 13,Cluster 6,Cluster 4,Cluster 8,Cluster 2,Cluster 11,Cluster 9,Cluster 15,Cluster 5
Gide_PD1_10_Post,0.157151026420744,0.103714835347755,0.0844702337364854,1.48302738965439,0.754551789630403,0.232028248289581,0.201762581460761,0.132769021689114,0.361828067432995,0.0321383643189571,0.0003876634076308,0.35940654961221
Gide_PD1_10_Pre,0.082433111778509,0.148294321347394,0.088060300540988,1.4150854038205,0.818929985486743,0.136640241455037,0.140417743745457,0.0844629296272431,0.391479405097449,0.0,0.0474428911579069,0.22787419557679
Gide_PD1_11_Pre,0.102055549206124,0.469602604914163,0.126606963716477,1.24846560306002,0.553614215068233,0.106794856248966,0.197217620095166,0.102290920385477,0.30025922438189,0.0,0.0,0.622267586443595
Gide_PD1_12_Pre,0.097560968841964,0.123440859033168,0.10413527662093,1.03012340106332,0.716340544519477,0.295961568386095,0.154369443678335,0.0961381155028768,0.565440562552663,0.0,0.0,0.618949109221652
Gide_PD1_13_Post,0.0688084288965486,0.146028443916805,0.120410836517216,0.706916896766853,0.821784809100183,0.08873680773376,0.224835055442713,0.0807646948046106,0.481272701138842,0.0,0.0,0.261913784832196
Gide_PD1_13_Pre,0.0671707447075292,0.189866963871391,0.1710925299049,0.355528134062011,0.775729656424164,0.100079196026306,0.24157089870044,0.0776227328479537,0.412853882368053,0.0,0.0,0.234821997392487
Gide_PD1_14_Pre,0.0585055974029456,0.372909655390678,0.13060515718623,1.1758090863785,0.689092201390747,0.108241141893737,0.174015941772128,0.0623368620773107,0.433202367814945,0.0724403365385449,0.0,0.337436819742206
Gide_PD1_15_Pre,0.132380814054941,0.448062118042024,0.125971351824738,0.6947176775272,0.474037465553343,0.315210328351876,0.196827892561605,0.208453985695342,0.310213074779205,0.0,0.0589218419189212,0.34557019036333
Gide_PD1_16_Pre,0.11998560992044,0.0533462324768686,0.103449222206309,1.06031283323185,0.763725475839351,0.324370703783715,0.181676252772948,0.0517277617871545,0.548242764709548,0.0,0.0,0.61152354032334
Gide_PD1_17_Post,0.761780549749306,0.0425329626365294,0.0430563071861624,4.16800813679559,0.477813700886608,0.198205642945855,0.211989089887177,0.145093353327661,0.39324772386303,0.0435149099677681,0.0,0.546379594707418
Gide_PD1_17_Pre,0.190353889290785,0.160190972734102,0.0637254351367092,2.11072796623525,0.769715819991934,0.234858928481026,0.134780260432149,0.104072094770729,0.545006519242698,0.0310441722757401,0.0,0.61011822857709
Gide_PD1_18_Pre,0.0748630924402137,0.0178194075757244,0.0750151577300972,1.95731885046163,0.753534886661342,0.251133105545316,0.133190250069614,0.082811279290368,0.599894453398499,0.0578003457712808,0.0,0.512216155521539
Gide_PD1_19_Pre,0.0429318499535543,0.169834153133614,0.119856412280377,0.97132875876084,0.814120206539757,0.0596494007310052,0.168759748013982,0.0904409826457655,0.429999271970317,0.0800750898496743,0.0032065343966094,0.286733458662754
Gide_PD1_2_Pre,0.167967074098113,0.0519658980263043,0.0614503936323104,3.71888366737636,0.487027302645878,0.207958745030382,0.212525328349768,0.157394928993888,0.525616217438665,0.0205310119910232,0.0,0.463713317371548
Gide_PD1_21_Pre,0.0900123824762188,0.210256496970537,0.0595651493017914,2.15809493307603,0.628949094347196,0.207004268579673,0.178567970907833,0.118599863533987,0.540801221583189,0.0115189075726266,0.0136537817257849,0.315887853962256
Gide_PD1_23_Pre,0.0921408356426299,0.0339836978316285,0.0749391339985559,1.52519730559693,0.674353828686304,0.272901266929769,0.190039406085156,0.168579342409395,0.758892861562846,0.009513358879475,0.0,0.476247360936952
Gide_PD1_25_Post,0.365275649727601,0.308429061530199,0.0796401672483304,2.29351182378888,0.488426308186512,0.0707405523141219,0.18338565035768,0.102875771034314,0.3759505193751,0.0515324573837661,0.0,0.373441204875927
Gide_PD1_25_Pre,0.176441840649157,0.0942366443106012,0.0913080369205131,1.43040753961251,0.72525495146067,0.260274092373792,0.213719272447508,0.119943087687642,0.408881652267827,0.0241874034126828,0.0,0.289088596493731
Gide_PD1_27_Pre,0.103822547035369,0.0612131711894982,0.23020427379,0.261161693766223,0.841467268160762,0.198363114161285,0.231673090330611,0.159332394560008,0.18817736718023,0.0,0.268269935495755,0.273942477735477
Gide_PD1_29_Post,0.0926110678151027,0.116244807174688,0.15720474470758,0.470037380033122,0.81320697046696,0.18048185904929,0.143221374087752,0.0528708879963545,0.436977150465002,0.25758020141857,0.283396468946239,0.170202901972978
Gide_PD1_29_Pre,0.0615471100857863,0.133721066116825,0.176615597395842,0.369554408585024,0.823087239457504,0.191459810398778,0.127913013429189,0.0503177281442302,0.508722690190285,0.140607953735835,0.341365414430253,0.209591437697085
Gide_PD1_3_Pre,0.0542571071524252,0.297732695652143,0.124477511850212,0.727030455034213,0.652206716203443,0.192202595389689,0.182221144525009,0.0682996826770778,0.407376438729179,0.0,0.0105021774935236,0.264082081479576
Gide_PD1_30_Pre,0.0895934039288705,0.0345227970300054,0.100351148920514,2.01263950149222,0.828560137013969,0.29681268803834,0.255378660279549,0.0539358424690006,0.32160327366011,0.0,0.0,0.606133705920907
Gide_PD1_34_Pre,0.186719486163621,0.0170782728674215,0.0890367095529674,1.46209143932122,0.692507206164029,0.183851327151246,0.15310856505674,1.46935392049906,0.496476437904605,0.0637764551153791,0.0,0.264759988389101
Gide_PD1_35_Pre,0.301788693533921,0.323698299649882,0.0792691002682569,1.83339289119528,0.41842765045264,0.100545132961215,0.174583181322389,0.963814424689594,0.252009382816355,0.0377958655842994,0.0227029067071752,0.436217962216449
Gide_PD1_36_Pre,0.0996796405828792,0.0218345782637313,0.0714178288502653,1.24333807783853,0.628268154826461,0.163966108012328,0.211201235166213,0.455854022678135,0.524796001319132,0.0877510300227884,0.210481068854646,0.185374951772482
Gide_PD1_38_Pre,0.380835505527437,0.0099433718774163,0.037053533418918,3.59744912804389,0.605336093939191,0.211632472205402,0.0723114060603463,0.128598250858051,0.407642998287639,0.0,0.0,0.528793810075452
Gide_PD1_4_Pre,0.334206301777604,0.202165849317881,0.0669542320986535,2.67520883191762,0.614476697545338,0.211315743159642,0.155602081239876,0.342001371591466,0.297337628398726,0.0288891442251904,0.0138855107867063,0.35635472099675
Gide_PD1_40_Pre,0.463672514833347,0.013743509041192,0.0488580345888059,4.43567284112086,0.544698052620737,0.178157104861543,0.172622236725145,1.77893435381937,0.556775733014819,0.0263736754139792,0.0004477635543002,0.555538535449042
Gide_PD1_41_Post,0.514196215017824,0.0585252153534009,0.0678071104075724,2.73646044223336,0.529906743424834,0.169468791909675,0.121482917259001,0.264386504733872,0.344502532695765,0.116793616652772,0.0456560681626045,0.447862617680568
Gide_PD1_41_Pre,0.124017344182285,0.061845354845463,0.0997787017281993,1.13036567728443,0.803738720406876,0.121054313576578,0.167733824899293,0.151107135937809,0.382196354224992,0.0706060533184424,0.0229460464797383,0.268050108799227
Gide_PD1_42_Pre,0.14540039827949,0.0680236853164973,0.125724648420284,0.658066225066371,0.733675915319029,0.283732053882781,0.234313369684354,0.441771755982415,0.419478217332747,0.0158050803661141,0.0,0.501042225030297
Gide_PD1_44_Pre,0.264395356586479,0.0741700686680271,0.0662061448282931,2.1588534418812,0.422837890444771,0.167162915571452,0.14822737581944,5.32746152506418,0.411332536625825,0.0623449390696994,0.0203209296990649,0.348164315862282
Gide_PD1_45_Pre,0.511909358754052,0.032992749983132,0.0560218758509563,3.1185222516022,0.417353194723721,0.0969688049190012,0.197190811045545,0.586512659273941,0.328464266909202,0.0467057869780634,0.201747245059847,0.213497565060658
Gide_PD1_46_Pre,0.214555770176423,0.108436084755273,0.0642793748449292,1.37972119571341,0.737940854379847,0.1686522509082,0.185485638991487,0.239509055631722,0.470518885319207,0.0238918844436669,0.136777961624634,0.234312106326578
Gide_PD1_47_Post,0.416097335035606,0.0566216906520392,0.0513641130248901,4.88097319934361,0.523848489901139,0.110420767635992,0.178038035601284,0.244502279930268,0.287536370077767,0.0707869213658522,0.227409747008,0.137313153534686
Gide_PD1_47_Pre,0.300273256286156,0.0738456346963145,0.0364596799155874,5.75926744784561,0.488262842087275,0.182678328613251,0.163495818266012,0.236703790630769,0.309521461797864,0.0231702485263503,0.0,0.284439612945578
Gide_PD1_48_Post,1.0955475949853,0.0042134630672002,0.0378801667387489,4.74508552304255,0.373470888585538,0.0670683469773612,0.0710036033362096,1.98456847629302,0.369230290090499,0.075942387624929,0.0402441833554165,0.275673230111793
Gide_PD1_48_Pre,0.490538269515078,0.0135877055240624,0.0789668867964975,1.35920031782324,0.520566355881405,0.208972108584585,0.108022796057393,2.13835083131678,0.34164607080544,0.103751765354936,0.0260789027145568,0.184083772615899
Gide_PD1_49_Pre,0.113660934220287,0.243328608954665,0.100937090866482,0.946290145058186,0.725618844537559,0.165568198073393,0.151224661602123,0.0931027360892077,0.513091036245865,0.0162522721258387,0.0573705985795209,0.308905670728785
Gide_PD1_5_Pre,0.0849268944622897,0.0485814346242653,0.16100451921199,0.703924777273949,0.803118200120898,0.258359988780476,0.241428686786662,0.0989151334744236,0.255875806374541,0.0,0.0410654782063932,0.187619704141857
Gide_PD1_50_Pre,0.199924601692582,0.01298080108292,0.0754772103001634,2.28583327188366,0.769293179738761,0.289073976688354,0.16557643909145,0.10777295829456,0.386070367821264,0.0223845562236665,0.0204118999257061,0.560628582272403
Gide_PD1_52_Pre,0.219945074815409,0.0296785911002757,0.0577891027886009,1.56957786431869,0.677977316194748,0.191697507672034,0.186619322229569,0.317029625915496,0.417101843747875,0.0115117599632631,0.0079477262661266,0.216736725846418
Gide_PD1_53_Pre,0.80373126557168,0.0158322629386331,0.0798747176219328,1.90541054188317,0.306768595199173,0.181708145574558,0.156414094003601,4.25133127324676,0.118664950695254,0.0,0.0513866613532983,0.312914759712422
Gide_PD1_54_Pre,0.159507667487758,0.0072617118648516,0.114503655719729,1.1854107482603,0.809011447687017,0.124055963394806,0.187216503464939,0.323639744777178,0.38289035030238,0.019291392464149,0.144696859149382,0.202832719368585
Gide_PD1_6_Pre,0.250158576850067,0.0041425710611342,0.100279286482815,1.4063926134779,0.42277560384312,0.12773787679079,0.173176543863746,7.09803393789377,0.313505514434575,0.0503617490267171,0.0640878720062426,0.0930723611487943
Gide_PD1_7_Pre,0.24221000608568,0.0112581636570334,0.0548811834440198,4.16185053974147,0.695415699662402,0.0883034580907761,0.115077260674463,0.157921982435217,0.467656009688815,0.000859061280501,0.130832600538025,0.378229826912762
Gide_PD1_8_Post,0.101612778431877,0.19609688992637,0.155391656587084,1.38927319516644,0.790132026501027,0.246503828847785,0.195753690485182,0.130892040030972,0.264011121681088,0.0,0.0441375783937803,0.442142855885258
Gide_PD1_8_Pre,0.0483326420483854,0.125072596432666,0.230937075605943,0.355051609614861,0.853612612814122,0.232912455127759,0.229330057562381,0.147625176605619,0.199967207501711,0.0,0.0650460163869005,0.172187234144417
Gide_PD1_9_Pre,0.240712791473546,0.0867344365604068,0.0976634781987325,1.87680217478468,0.54945994340673,0.253648874449987,0.177751337757505,2.71610614009623,0.354653220257447,0.0404414297548527,0.0,0.55219706789219
pvalue,0.004846310846609994,0.02282900697221308,0.027974923247403683,0.04610440142295486,0.009505604176332004,0.043101370723090046,0.048682359781168826,0.02462507116623782,0.040517100397634544,0.019914403040888314,0.02693261263066164,0.044611443738767416
